terme,definition,reference,exclusions,langue,doc_id,modele,nom_scientifique,exchanges
paragraph 13(b)2,available to be taken by aborigines or a Contracting Government on behalf of aborigines,paragraph 13(b)2,,en,I002,qwen3-8b,,
paragraph 13(b)3,available to be struck by aborigines,paragraph 13(b)3,,en,I002,qwen3-8b,,
Okhotsk Sea-West Pacific Stock,the Okhotsk Sea-West Pacific Stock,NORTH PACIFIC,,en,I002,qwen3-8b,,
Sea of Japan-Yellow Sea-East China Sea Stock,the Sea of Japan-Yellow Sea-East China Sea Stock,NORTH PACIFIC,,en,I002,qwen3-8b,,
Remainder,the Remainder,NORTH PACIFIC,,en,I002,qwen3-8b,,
Eastern Stock,the Eastern Stock,NORTH ATLANTIC,,en,I002,qwen3-8b,,
Western Stock,the Western Stock,NORTH ATLANTIC,,en,I002,qwen3-8b,,
Whole region,the Whole region,NORTH PACIFIC,,en,I002,qwen3-8b,,
North Pacific,the North Pacific,NORTH PACIFIC,,en,I002,qwen3-8b,,
Arctic,the Arctic,SCHEDULE,,en,I002,qwen3-8b,,
North Atlantic,the North Atlantic,SCHEDULE,,en,I002,qwen3-8b,,
Parties,les Parties contractantes au présent Protocole,Article 2 / a),,fr,I003,qwen3-8b,,
Convention,"la Convention sur la protection du milieu marin et du littoral de la Méditerranée, adoptée à Barcelone le 16 février 1976, telle que modifiée le 10 juin 1995",Article 2 / b),,fr,I003,qwen3-8b,,
Organisation,l'organisation visée à l'article 17 de la Convention,Article 2 / c),,fr,I003,qwen3-8b,,
Centre,le Centre d'activités régionales pour le Programme d'actions prioritaires,Article 2 / d),,fr,I003,qwen3-8b,,
Zone côtière,l'espace géomorphologique de part et d'autre du rivage de la mer où se manifeste l'interaction entre la partie marine et la partie terrestre à travers des systèmes écologiques et systèmes de ressources complexes comprenant des composantes biotiques et abiotiques coexistant et interagissant avec les communautés humaines et les activités socio-économiques pertinentes,Article 2 / e),,fr,I003,qwen3-8b,,
Gestion intégrée des zones côtières,"un processus dynamique de gestion et d'utilisation durables des zones côtières, prenant en compte simultanément la fragilité des écosystèmes et des paysages côtiers, la diversité des activités et des usages, leurs interactions, la vocation maritime de certains d'entre eux, ainsi que leurs impacts à la fois sur la partie marine et la partie terrestre",Article 2 / f),,fr,I003,qwen3-8b,,
Biotechnologie,"toute application technologique qui utilise des systèmes biologiques, des organismes vivants, ou des dérivés de ceux-ci, pour réaliser ou modifier des produits ou des procédés à usage spécifique.",Article 1 / Règle 1,,fr,I004,qwen3-8b,,
Conditions in situ,"conditions caractérisées par l'existence de ressources génétiques au sein d'écosystèmes et d'habitats naturels et, dans le cas des espèces domestiquées et cultivées, dans le milieu où se sont développés leurs caractères distinctifs.",Article 1 / Règle 1,,fr,I004,qwen3-8b,,
Conservation ex situ,la conservation d'éléments constitutifs de la diversité biologique en dehors de leur milieu naturel.,Article 1 / Règle 1,,fr,I004,qwen3-8b,,
Conservation in situ,"la conservation des écosystèmes et des habitats naturels et le maintien et la reconstitution de populations viables d'espèces dans leur milieu naturel et, dans le cas des espèces domestiquées et cultivées, dans le milieu où se sont développés leurs caractères distinctifs.",Article 1 / Règle 1,,fr,I004,qwen3-8b,,
Diversité biologique,"Variabilité des organismes vivants de toute origine y compris, entre autres, les écosystèmes terrestres, marins et autres écosystèmes aquatiques et les complexes écologiques dont ils font partie; cela comprend la diversité au sein des espèces et entre espèces ainsi que celle des écosystèmes.",Article 1 / Règle 1,,fr,I004,qwen3-8b,,
Ecosystème,"le complexe dynamique formé de communautés de plantes, d'animaux et de micro-organismes et de leur environnement non vivant qui, par leur interaction, forment une unité fonctionnelle.",Article 1 / Règle 1,,fr,I004,qwen3-8b,,
Espèce domestiquée ou cultivée,toute espèce dont le processus d'évolution a été influencé par l'homme pour répondre à ses besoins.,Article 1 / Règle 1,,fr,I004,qwen3-8b,,
Habitat,le lieu ou type de site dans lequel un organisme ou une population existe à l'état naturel.,Article 1 / Règle 1,,fr,I004,qwen3-8b,,
Matériel génétique,"le matériel d'origine végétale, animale, microbienne ou autre, contenant des unités fonctionnelles de l'hérédité.",Article 1 / Règle 1,,fr,I004,qwen3-8b,,
Organisation régionale d'intégration économique,"toute organisation constituée par des Etats souverains d'une région donnée, à laquelle ces Etats membres ont transféré des compétences en ce qui concerne les questions régies par la présente Convention et qui a été dûment mandatée, conformément à ses procédures internes, pour signer, ratifier, accepter, approuver ladite Convention ou y adhérer.",Article 1 / Règle 1,,fr,I004,qwen3-8b,,
Pays d'origine des ressources génétiques,pays qui possède ces ressources génétiques dans des conditions in situ.,Article 1 / Règle 1,,fr,I004,qwen3-8b,,
Pays fournisseur de ressources génétiques,"tout pays qui fournit des ressources génétiques récoltées auprès de sources in situ, y compris les populations d'espèces sauvages ou domestiquées, ou prélevées auprès de sources ex situ, qu'elles soient ou non originaires de ce pays.",Article 1 / Règle 1,,fr,I004,qwen3-8b,,
Ressources biologiques,"les ressources génétiques, les organismes ou éléments de ceux-ci, les populations, ou tout autre élément biotique des écosystème",Article 1 / Règle 1,,fr,I004,qwen3-8b,,
Ressources génétiques,le matériel génétique ayant une valeur effective ou potentiel le.,Article 4 a),,fr,I004,qwen3-8b,,
Utilisation durable,"l'utilisation des éléments constitutifs de la diversité biologique d'une manière et à un rythme qui n'entraînent pas leur appauvrissement à long terme, et sauvegardent ainsi leur potentiel pour satisfaire les besoins et les aspirations des générations présentes et futures.",,,fr,I004,qwen3-8b,,
Zone protégée,"toute zone géographiquement délimitée qui est désignée, ou réglementée, et gérée en vue d'atteindre des objectifs spécifiques de conservation.",,,fr,I004,qwen3-8b,,
Champ d'application,"Sous réserve des droits des autres Etats et sauf disposition contraire expresse de la présente convention, les dispositions de la Convention s'appliquent à chacune des Parties contractantes : a) Lorsqu'il s'agit des éléments de la diversité biologique de zones situées dans les limites de sa juridiction nationale; b) Lorsqu'il s'agit des processus et activités qui sont réalisés sous sa juridiction ou son contrôle, que ce soit à l'intérieur de la zone relevant de sa juridiction nationale ou en dehors des limites de sa juridiction nationale, indépendamment de l'endroit où ces processus et activités produisent leurs effets.",Article 4,,fr,I004,qwen3-8b,,
Coopération,"Chaque Partie contractante, dans la mesure du possible et selon qu'il conviendra, coopère avec d'autres Parties contractantes, directement ou, le cas échéant, par l'intermédiaire d'organisations internationales compétentes, dans des domaines ne relevant pas de la juridiction nationale et dans d'autres domaines d'intérêt mutuel, pour la conservation et l'utilisation durable de la diversité biologique.",Article 5,,fr,I004,qwen3-8b,,
Mesures générales en vue de la conservation et de l'utilisation durable,"Chacune des Parties contractantes, en fonction des conditions et moyens qui lui sont propres : a) Elabore des stratégies, plans ou programmes nationaux tendant à assurer la conservation et l'utilisation durable de la diversité biologique ou adapte à cette fin ses stratégies, plans ou programmes existants qui tiendront compte, entre autres, des mesures énoncées dans la présente Convention qui la concernent: b) Intègre, dans toute la mesure possible et comme il",Article 6,,fr,I004,qwen3-8b,,
diversité biologique,"la conservation et l'utilisation durable de la diversité biologique dans ses plans, programmes et politiques sectoriels ou intersectoriels pertinents.",Article 6,,fr,I004,qwen3-8b,,
éléments constitutifs de la diversité biologique,les éléments constitutifs de la diversité biologique importants pour sa conservation et son utilisation durable,Article 7.a,,fr,I004,qwen3-8b,,
processus et catégories d'activités,les processus et catégories d'activités qui ont ou risquent d'avoir une influence défavorable sensible sur la conservation et l'utilisation durable de la diversité biologique,Article 7.c,,fr,I004,qwen3-8b,,
système de zones protégées,un système de zones protégées ou de zones où des mesures spéciales doivent être prises pour conserver la diversité biologique,Article 8.a,,fr,I004,qwen3-8b,,
"lignes directrices pour le choix, la création et la gestion de zones protégées","des lignes directrices pour le choix, la création et la gestion de zones protégées ou de zones où des mesures spéciales doivent être prises pour conserver la diversité biologique",Article 8.b,,fr,I004,qwen3-8b,,
ressources biologiques,les ressources biologiques présentant une importance pour la conservation de la diversité biologique à l'intérieur comme à l'extérieur des zones protégées afin d'assurer leur conservation et leur utilisation durable,Article 8.c,,fr,I004,qwen3-8b,,
écosystèmes et habitats naturels,"la protection des écosystèmes et des habitats naturels, ainsi que le maintien de populations viables d'espèces dans leur milieu naturel",Article 8.d,,fr,I004,qwen3-8b,,
développement durable et écologiquement rationnel,un développement durable et écologiquement rationnel dans les zones adjacentes aux zones protégées en vue de renforcer ia protection de ces dernières,Article 8.e,,fr,I004,qwen3-8b,,
écosystèmes dégradés,"la remise en état et la restauration des écosystèmes dégradés et la reconstitution des espèces menacées moyennant. entre autres, l'élaboration et l'application de plans ou autres stratégies de gestion",Article 8.f,,fr,I004,qwen3-8b,,
organismes vivants et modifiés résultant de la biotechnologie,les organismes vivants et modifiés résultant de la biotechnologie qui risquent d'a,Article 8.g,,fr,I004,qwen3-8b,,
diversité biologique,la conservation et l'utilisation durable de la diversité biologique,article 7,,fr,I004,qwen3-8b,,
espèces exotiques,"les espèces qui menacent des écosystèmes, des habitats ou des espèces",h),,fr,I004,qwen3-8b,,
conditions nécessaires,les conditions nécessaires pour assurer la compatibilité entre les utilisations actuelles et la conservation de la diversité biologique et l'utilisation durable de ses éléments constitutifs,i),,fr,I004,qwen3-8b,,
"connaissances, innovations et pratiques","les connaissances, innovations et pratiques des communautés autochtones et locales qui incarnent des modes de vie traditionnels présentant un intérêt pour la conservation et l'utilisation durable de la diversité biologique",j),,fr,I004,qwen3-8b,,
dispositions législatives,les dispositions législatives et autres dispositions réglementaires nécessaires pour protéger les espèces et populations menacées,k),,fr,I004,qwen3-8b,,
effet défavorable important,l'effet défavorable important sur la diversité biologique,l),,fr,I004,qwen3-8b,,
conservation in situ,la conservation in situ visée aux alinéas a) ai) сi-dessus,m),,fr,I004,qwen3-8b,,
éléments constitutifs,des éléments constitutifs de la diversité biologique,a),,fr,I004,qwen3-8b,,
installations de conservation ex situ et de recherche,"des installations de conservation ex situ et de recherche pour les plantes, les animaux et les micro-organismes",b),,fr,I004,qwen3-8b,,
reconstitution et la régénération,la reconstitution et la régénération des espèces menacées et la réintroduction de ces espèces dans leur habitat naturel dans de bonnes conditions,c),,fr,I004,qwen3-8b,,
collecte des ressources biologiques,la collecte des ressources biologiques dans les habitats naturels aux fins de la conservation ex situ de manière à éviter que soient menacés les écosystèmes et les populations d'espèces in situ,d),,fr,I004,qwen3-8b,,
appui financier,l'appui financier et autr,m),,fr,I004,qwen3-8b,,
conservation ex situ,"la conservation ex situ visée aux alinéas a) à d) ci-dessus, et à la création et au maintien de moyens de conservation ex situ dans les pays en développement.",Article 9,,fr,I004,qwen3-8b,,
éléments constitutifs de la diversité biologique,les éléments constitutifs de la diversité biologique,Article 10,,fr,I004,qwen3-8b,,
utilisation durable,l'utilisation durable des ressources biologiques,Article 10,,fr,I004,qwen3-8b,,
considérations relatives à la conservation et à l'utilisation durable des ressources biologiques,les considérations relatives à la conservation et à l'utilisation durable des ressources biologiques,Article 10,,fr,I004,qwen3-8b,,
mesures économiquement et socialement rationnelles,des mesures économiquement et socialement rationnelles incitant à conserver et à utiliser durablement les éléments constitutifs de la diversité biologique,Article 11,,fr,I004,qwen3-8b,,
programmes d'éducation et de formation scientifiques et techniques,des programmes d'éducation et de formation scientifiques et techniques pour identifier et conserver la diversité biologique et ses éléments constitutifs et en assurer l'utilisation durable,Article 12,,fr,I004,qwen3-8b,,
recherche qui contribue à conserver la divers biologie,la recherche qui contribue à conserver la diversité biologique et à en assurer l'utilisation durable,Article 12,,fr,I004,qwen3-8b,,
progrès de la recherche scientifique sur la diversité biologique,les progrès de la recherche scientifique sur la diversité biologique,Article 12,,fr,I004,qwen3-8b,,
prise de conscience de l'importance de la conservation de la diversité biologique,une prise de conscience de l'importance de la conservation de la diversité biologique et des mesures,Article 13,,fr,I004,qwen3-8b,,
projets,les projets qu'elle a proposés et qui sont susceptibles de nuire sensiblement à la diversité biologique,Article 14 / 1 / a),,fr,I004,qwen3-8b,,
procédures,les procédures permettant d'exiger l'évaluation des impacts sur l'environnement,Article 14 / 1 / a),,fr,I004,qwen3-8b,,
public,le public de participer à ces procédures,Article 14 / 1 / a),,fr,I004,qwen3-8b,,
programmes,les programmes et politiques susceptibles de nuire sensiblement à la diversité biologique,Article 14 / 1 / b),,fr,I004,qwen3-8b,,
activités,les activités relevant de sa juridiction ou de son autorité et susceptibles de nuire sensiblement à la diversité biologique d'autres Etats ou de zones situées hors des limites de la juridiction nationale,Article 14 / 1 / c),,fr,I004,qwen3-8b,,
danger,le danger ou d'un dommage imminent ou grave trouvant son origine sous sa juridiction ou son contrôle et menaçant la diversité biologique dans une zone relevant de la juridiction d'autres Etats ou dans des zones situées en dehors des limites de la juridiction des Etats,Article 14 / 1 / d),,fr,I004,qwen3-8b,,
mesures d'urgence,"les mesures d'urgence au cas où des activités ou des événements, d'origine naturelle ou autre, présenteraient un danger grave ou imminent pour la diversité biologique",Article 14 / 1 / e),,fr,I004,qwen3-8b,,
responsabilité,"la responsabilité et de la réparation, y compris la remise en état et l'indemnisation pour dommages causés à la diversité biologique",Article 14 / 2 /,,fr,I004,qwen3-8b,,
remise en état,la remise en état et l'indemnisation pour dommages causés à la diversité biologique,Article 14 / 2 /,,fr,I004,qwen3-8b,,
indemnisation,la remise en état et l'indemnisation pour dommages causés à la diversité biologique,Article 14 / 2 /,,fr,I004,qwen3-8b,,
ressources génétiques,"fournies par une Partie contractante, et dont il est fait mention dans le présent article et aux articles 16 et 19 ci-après, exclusivement les ressources qui sont fournies par des Parties contractantes qui sont des pays d'origine de ces ressources ou par des Parties qui les ont acquises conformément à la présente Convention",Article 15.3,,fr,I004,qwen3-8b,,
accès,"lorsqu'il est accordé, est régi par des conditions convenues d'un commun accord et est soumis aux dispositions du présent article",Article 15.4,,fr,I004,qwen3-8b,,
consentement,"préalable donné en connaissance de cause de la Partie contractante qui fournit lesdites ressources, sauf décision contraire de cette Partie",Article 15.5,,fr,I004,qwen3-8b,,
recherche scientifique,"fondées sur les ressources génétiques fournies par d'autres Parties contractantes avec la pleine participation de ces Parties et, dans la mesure du possible, sur leur territoire",Article 15.6,,fr,I004,qwen3-8b,,
partage juste et équitable,des résultats de la recherche et de la mise en valeur ainsi que des avantages résultant de l'utilisation commerciale et autre des ressources génétiques avec la Partie contractante qui fournit ces ressources. Ce partage s'effectue selon des modalités mutuellement convenues,Article 15.7,,fr,I004,qwen3-8b,,
technologie,"inclut la biotechnologie, et que l'accès à la technologie et le transfert de ceile-ci entre Parties contractantes sont des éléments essentiels à la réalisation des objectifs de la présente Convention",Article 16.1,,fr,I004,qwen3-8b,,
accès aux technologies,"nécessaires à la conservation et à l'utilisation durable de la diversité biologique, ou utilisant les ressources génétiques sans causer de dom",Article 16.1,,fr,I004,qwen3-8b,,
Hydrocarbures,"le pétrole sous toutes ses formes, à savoir notamment le pétrole brut, le fuel-oil, les boues, les résidus d’hydrocarbures et les produits raffinés (autres que les produits pétrochimiques qui sont soumis aux dispositions de l’Annexe II de la présente Convention) et comprend, sans que cela porte atteinte au caractère général de ce qui précède, les substances énumérées à l’appendice I de la présente Annexe.",Article 1,,fr,I005b,qwen3-8b,,
Pétrole brut,"tout mélange liquide d’hydrocarbures se trouvant à l’état naturel dans la terre, qu’il soit ou non traité en vue de son transport, et comprend : .1 le pétrole brut dont certaines fractions distillées ont pu être extraites; et .2 le pétrole brut auquel certaines fractions distillées ont pu être ajoutées.",Article 2,,fr,I005b,qwen3-8b,,
Mélange d’hydrocarbures,tout mélange contenant des hydrocarbures.,Article 3,,fr,I005b,qwen3-8b,,
Combustible liquide,tout hydrocarbure utilisé comme combustible pour l’appareil propulsif et les appareils auxiliaires du navire à bord duquel cet hydrocarbure est transporté.,Article 4,,fr,I005b,qwen3-8b,,
Pétrolier,"un navire construit ou adapté principalement en vue de transporter des hydrocarbures en vrac dans ses espaces à cargaison et comprend les transporteurs mixtes, tout ""navire-citerne NLS"" tel que défini à l’Annexe II de la présente Convention et tout transporteur de gaz tel que défini à la règle 3.20 du chapitre II-1 de la Convention SOLAS de 1994 (telle que modifiée) lorsqu’ils transportent une cargaison complète ou partielle d’hydrocarbures en vrac.",Article 5,,fr,I005b,qwen3-8b,,
Transporteur de pétrole brut,un pétrolier affecté au transport de pétrole brut.,Article 6,,fr,I005b,qwen3-8b,,
Transporteur de produits,un pétrolier affecté au transport d’hydrocarbures autres que du pétrole brut.,Article 7,,fr,I005b,qwen3-8b,,
Transporteur mixte,"un navire conçu pour transporter soit des hydrocarbures, soit des cargaisons solides en vrac.",Article 9,,fr,I005b,qwen3-8b,,
Transformation importante,"une transformation d’un navire : .............................1 .1qui modifie considérablement les dimensions ou la capacité de transport du navire; ou .............................1.2 qui change le type du navire; ou .............................1.3 qui vise, de l’avis de l’Autorité, à en prolonger considérablement la vie; ou .............................1.4 qui entraîne par ailleurs des modifications telles que le navire, s’il était un navire neuf, serait soumis aux dispositions pertinentes de la présente Convention qui ne lui sont pas applicables en tant que navire existant.",Article 9,,fr,I005b,qwen3-8b,,
Transformation importante,"Nonobstant les dispositions de la présente définition : .............................1.1 la transformation d’un pétrolier d’un port en lourd égal ou supérieur à 20 000 t livré le 1er juin 1982 ou avant cette date, tel que défini à la règle 1.28.3, pour satisfaire aux prescriptions de la règle 18 de la présente Annexe ne doit pas être considérée comme une transformation importante aux fins de la présente Annexe; et .............................1.2 la transformation d’un pétrolier livré avant le 6 juillet 1996, tel que défini à la règle 1.28.5, pour satisfaire aux prescriptions des règles 19 ou 20 de la présente Annexe ne doit pas être considérée comme une transformation importante aux fins de la présente Annexe.",Article 9,,fr,I005b,qwen3-8b,,
À partir de la terre la plus proche,"à partir de la ligne de base qui sert à déterminer la mer territoriale du territoire en question conformément au droit international; toutefois, aux fins de la présente Convention, l’expression ""à partir de la terre la plus proche"" de la côte nord-est de l’Australie signifie à partir d’une ligne reliant le point de latitude 11o00’S et de longitude 142o08’E sur la côte de l’Australie et le point de latitude 10o35’S et de longitude 141o55’E, puis les points suivants : latitude 10º00’S, et longitude 142°00’E latitude 9º10’S, et longitude 143°52’E latitude 9º00’S, et longitude 144°30’E latitude 10º41’S, et longitude 145°00’E latitude 13º00’S, et longitude 145°00’E latitude 15º00’S, et longitude 146°00’E latitude 17º30’S, et longitude 147°00’E latitude 21º00’S, et longitude 152°55’E latitude 24º30’S, et longitude 154°00’E --- Page 4 --- et enfin, le point de latitude 24°42’S et de longitude 153o15’E sur la côte australienne.",Article 10,,fr,I005b,qwen3-8b,,
Zone spéciale,"une zone maritime qui, pour des raisons techniques reconnues dues à sa situation océanographique et écologique ainsi qu’au caractère particulier de son trafic, appelle l’adoption de méthodes obligatoires particulières pour prévenir la pollution des mers par les hydrocarbures.",Aux fins de la présente Annexe,,fr,I005b,qwen3-8b,,
zone de la mer Méditerranée,"la mer Méditerranée proprement dite, avec les golfes et les mers qu’elle comprend, limitée du côté de la mer Noire par le parallèle 41°N, et limitée à l’ouest, dans le détroit de Gibraltar, par le méridien 005°36’W",1.1,,fr,I005b,qwen3-8b,,
zone de la mer Baltique,"la mer Baltique proprement dite ainsi que le golfe de Botnie, le golfe de Finlande et l’accès à la mer Baltique délimité par le parallèle de Skagen, dans le Skagerrak (57°44,8’N)",1.2,,fr,I005b,qwen3-8b,,
zone de la mer Noire,"la mer Noire proprement dite ainsi que la mer d’Azov, limitée du côté de la Méditerranée par le parallèle 41°N",1.3,,fr,I005b,qwen3-8b,,
zone de la mer Rouge,"la mer Rouge proprement dite ainsi que les golfes de Suez et d’Akaba, limitée au sud par la loxodromie reliant Ras Siyan (12°28,5’N, 043°19,6’E) et Husn Murad (12°40,4’N, 043°30,2’E)",1.4,,fr,I005b,qwen3-8b,,
zone des Golfes,"la zone maritime située au nord-ouest de la loxodromie reliant Ras el Had (22°30’N, 059°48’E) et Ras al Fasteh (25o04’N, 061o25’E)",1.5,,fr,I005b,qwen3-8b,,
zone du golfe d’Aden,"la partie du golfe d’Aden située entre la mer Rouge et la mer d’Oman, limitée à l’ouest par la loxodromie reliant Ras Siyan (12°28,5’N, 043°19,6’E) et Husn Murad (12°40,4’N, 043°30,2’E), et à l’est par la loxodromie reliant Ras Asir (11°50’N, 051°16,9’E) et Ras Fartak (15°35’N, 052°3,8’E)",1.6,,fr,I005b,qwen3-8b,,
zone de l’Antarctique,la zone maritime située au sud du parallèle 60°S,1.7,,fr,I005b,qwen3-8b,,
eaux de l’Europe du Nord-Ouest,"la mer du Nord et ses accès, la mer d’Irlande et ses accès, la mer Celtique, la Manche et ses accès et la partie de l’Atlantique du Nord-Est située immédiatement à l’ouest de l’Irlande. Cette zone est délimitée par les lignes reliant les points géographiques suivants : 48º27’N sur la côte française 48º27’N; 006º25’W 49º52’N; 007º44’W 50º30’N; 012ºW 56º30’N; 012ºW 62ºN; 003ºW 62ºN sur la côte norvégienne 57º44,8’N sur les côtes danoise et suédoise.",1.8,,fr,I005b,qwen3-8b,,
zone d’Oman de la mer d’,,1.9,,fr,I005b,qwen3-8b,,
Arabie,"la zone maritime délimitée par les coordonnées géographiques suivantes : 22º30,00’N; 059°48,00’E 23°47,27’N; 060°35,73’E 22°40,62’N; 062°25,29’E 21°47,40’N; 063°22,22’E 20°30,37’N; 062°52,41’E 19°45,90’N; 062°25,97’E --- Page 5 --- 18°49,92’N; 062°02,94’E 17°44,36’N; 061°05,53’E 16°43,71’N; 060°25,62’E 16°03,90’N; 059°32,24’E 15°15,20’N; 058°58,52’E 14°36,93’N; 058°10,23’E 14°18,93’N; 057°27,03’E 14°11,53’N; 056°53,75’E 13°53,80’N; 056°19,24’E 13°45,86’N; 055°54,53’E 14°27,38’N; 054°51,42’E 14°40,10’N; 054°27,35’E 14°46,21’N; 054°08,56’E 15°20,74’N; 053°38,33’E 15°48,69’N; 053°32,07’E 16°23,02’N; 053°14,82’E 16°39,06’N; 053°06,52’E .............................110. Par eaux au large de la côte méridionale de l'Afrique du Sud, on entend la zone maritime délimitée par une ligne reliant les points géographiques ci-après : 31° 14' S ; 017° 50' E 31° 30' S ; 017° 12' E 32° 00' S ; 017° 06' E 32° 32' S ; 016° 52' E 34° 06' S ; 017° 24' E 36° 58' S ; 020° 54' E 36° 00' S ; 022° 30' E 35° 14' S ; 022° 54' E 34° 30' S ; 026° 00' E 33° 48' S ; 027° 25' E 33° 27 S ; 027° 12' E.",Article 110,,fr,I005b,qwen3-8b,,
Taux instantané de rejet des hydrocarbures,le taux de rejet des hydrocarbures en litres par heure à tout instant divisé par la vitesse du navire en noeuds au même instant.,,,fr,I005b,qwen3-8b,,
Citerne,un espace fermé qui est constitué par la structure permanente d’un navire et qui est conçu pour le transport de liquides en vrac.,,,fr,I005b,qwen3-8b,,
Citerne latérale,toute citerne adjacente au bordé du navire.,,,fr,I005b,qwen3-8b,,
Citerne centrale,toute citerne délimitée par deux cloisons longitudinales.,,,fr,I005b,qwen3-8b,,
Citerne de décantation,"une citerne destinée spécialement à recevoir les résidus des citernes, les eaux de nettoyage des citernes et les autres mélanges d’hydrocarbures.",,,fr,I005b,qwen3-8b,,
Ballast propre,"le ballast d’une citerne qui, depuis la dernière fois qu’elle a transporté des hydrocarbures, a été nettoyée de manière que l’effluent de cette citerne, s’il était rejeté d’un navire stationnaire dans des eaux propres et calmes par beau temps, --- Page 6 --- ne laisserait pas de traces visibles d’hydrocarbures à la surface de l’eau ou sur le littoral adjacent et ne laisserait ni dépôt ni émulsion sous la surface de l’eau ou sur le littoral adjacent. Lorsque le ballast rejeté passe par un système de surveillance continue et de contrôle des rejets d’hydrocarbures agréé par l’Autorité, les indications fournies par ce dispositif, si elles montrent que la teneur en hydrocarbures de l’effluent ne dépassait pas 15 parts par million, prouvent que le ballast était propre, nonobstant la présence de traces visibles.",,,fr,I005b,qwen3-8b,,
Ballast séparé,"l’eau de ballast introduite dans une citerne complètement isolée des circuits d’hydrocarbures de cargaison et de combustible liquide et réservée en permanence au transport de ballast, ou au transport de ballast ou de cargaisons autres que les hydrocarbures ou des substances liquides nocives au sens des diverses définitions données dans les Annexes de la présente Convention.",Article 19,,fr,I005b,qwen3-8b,,
La longueur (L),"est égale à 96 % de la longueur totale à la flottaison, à une distance du dessus de quille égale à 85 % du creux minimum sur quille ou à la distance entre la face avant de l’étrave et l’axe de la mèche du gouvernail à cette flottaison, si cette valeur est supérieure. Dans le cas des navires conçus pour naviguer avec une quille inclinée, la flottaison à laquelle la longueur est mesurée doit être parallèle à la flottaison en charge prévue. La longueur (L) est mesurée en mètres.",Article 19,,fr,I005b,qwen3-8b,,
Les perpendiculaires avant et arrière,sont prises aux extrémités avant et arrière de la longueur (L). La perpendiculaire avant doit passer par l’intersection de la face avant de l’étrave avec la flottaison sur laquelle est mesurée la longueur.,Article 20,,fr,I005b,qwen3-8b,,
Le milieu du navire,est situé au milieu de la longueur (L).,Article 21,,fr,I005b,qwen3-8b,,
La largeur du navire (B),"est la largeur maximale au milieu du navire, mesurée hors membres pour les navires à coque métallique et mesurée hors bordé pour les navires à coque non métallique. La largeur (B) est mesurée en mètres.",Article 22,,fr,I005b,qwen3-8b,,
Port en lourd (DW),"désigne la différence, exprimée en tonnes métriques, entre le déplacement d’un navire dans une eau de densité relative égale à 1,025 à la flottaison en charge correspondant au franc-bord d’été assigné et son poids lège.",Article 23,,fr,I005b,qwen3-8b,,
Poids lège,"désigne le déplacement d’un navire en tonnes métriques à l’exclusion de la cargaison, du combustible liquide, de l’huile de graissage, de l’eau de ballast, de l’eau douce et de l’eau d’alimentation des chaudières dans les caisses, des provisions de bord ainsi que des passagers, de l’équipage et de leurs effets.",Article 24,,fr,I005b,qwen3-8b,,
Perméabilité d’un espace,désigne le rapport entre le volume de cet espace que l’on suppose occupé par l’eau et son volume total.,Article 25,,fr,I005b,qwen3-8b,,
Volumes et surfaces d’un navire,sont calculés hors membres.,Article 26,,fr,I005b,qwen3-8b,,
Date anniversaire,le jour et le mois de chaque année qui correspondent à la date d’expiration du Certificat international de prévention de la pollution par les hydrocarbures.,Article 28.1,,fr,I005b,qwen3-8b,,
Navire livré le 31 décembre 1979 ou avant cette date,"un navire : .............................1.1 dont le contrat de construction est passé le 31 décembre 1975 ou avant cette date; ou .............................1.2 en l’absence d’un contrat de construction, dont la quille est posée ou qui se trouve dans un état d’avancement équivalent le 30 juin 1976 ou avant cette date; ou .............................1.3 dont la livraison s’effectue le 31 décembre 1979 ou avant cette date; ou .............................1.4 qui a subi une transformation importante : .............................1.............................1.1 dont le contrat est passé le 31 décembre 1975 ou avant cette date; ou .............................1.............................1.2 en l’absence de tout contrat, dont les travaux ont commencé le 30 juin 1976 ou avant cette date; ou .............................1.............................1.3 qui est achevée le 31 décembre 1979 ou avant cette date.",Article 28.1,,fr,I005b,qwen3-8b,,
Navire livré après le 31 décembre 1979,"un navire : .............................1.1 dont le contrat de construction est passé après le 31 décembre 1975; ou .............................1.2 en l’absence d’un contrat de construction, dont la quille est posée ou qui se trouve dans un état d’avancement équivalent après le 30 juin 1976; ou .............................1.3 dont la livraison s’effectue après le 31 décembre 1979; ou .............................1.4 qui a subi une transformation importante : .............................1.............................1.1 dont le contrat est passé après le 31 décembre 1975; ou .............................1.............................1.2 en l’absence de tout contrat, dont les travaux ont commencé après le 30 juin 1976; ou .............................1.............................1.3 qui est achevée après le 31 décembre 1979.",Article 28.2,,fr,I005b,qwen3-8b,,
